"datetime","out","in"
"2020-02-01 00:00:00","9.4267106250e+08","3.4333977500e+09"
"2020-02-01 00:05:00","9.5928218750e+08","3.4690700000e+09"
"2020-02-01 00:10:00","1.0724635000e+09","3.7377187500e+09"
"2020-02-01 00:15:00","9.2917425000e+08","2.9985370000e+09"
"2020-02-01 00:20:00","8.8222181250e+08","2.5297245000e+09"
"2020-02-01 00:25:00","9.1950193750e+08","2.6524805000e+09"
"2020-02-01 00:30:00","8.4838506250e+08","2.4149687500e+09"
"2020-02-01 00:35:00","8.1285700000e+08","2.6752955000e+09"
"2020-02-01 00:40:00","8.2404200000e+08","2.5755137500e+09"
"2020-02-01 00:45:00","8.2614612500e+08","2.7765407500e+09"
"2020-02-01 00:50:00","9.0150500000e+08","2.8512407500e+09"
"2020-02-01 00:55:00","9.2118525000e+08","2.9626245000e+09"
"2020-02-01 01:00:00","9.4234256250e+08","2.9274740000e+09"
"2020-02-01 01:05:00","8.6337931250e+08","2.4899510000e+09"
"2020-02-01 01:10:00","8.9950700000e+08","2.6571412500e+09"
"2020-02-01 01:15:00","9.2409037500e+08","2.4262127500e+09"
"2020-02-01 01:20:00","8.3217925000e+08","2.0381483750e+09"
"2020-02-01 01:25:00","8.6962812500e+08","2.1624665000e+09"
"2020-02-01 01:30:00","8.8090600000e+08","2.1897977500e+09"
"2020-02-01 01:35:00","7.7482187500e+08","2.0239955000e+09"
"2020-02-01 01:40:00","7.6941856250e+08","2.1642595000e+09"
"2020-02-01 01:45:00","7.1705125000e+08","2.0524061250e+09"
"2020-02-01 01:50:00","7.8961718750e+08","1.9684043750e+09"
"2020-02-01 01:55:00","7.9115325000e+08","2.2125127500e+09"
"2020-02-01 02:00:00","1.0148821250e+09","2.2680930000e+09"
"2020-02-01 02:05:00","1.0196861875e+09","2.0423276250e+09"
"2020-02-01 02:10:00","9.7428168750e+08","2.0221675000e+09"
"2020-02-01 02:15:00","1.1155983750e+09","2.6416947500e+09"
"2020-02-01 02:20:00","1.1481398750e+09","3.4261375000e+09"
"2020-02-01 02:25:00","1.2194112500e+09","3.5372700000e+09"
"2020-02-01 02:30:00","1.1000096250e+09","3.1804472500e+09"
"2020-02-01 02:35:00","9.0926431250e+08","1.6759815000e+09"
"2020-02-01 02:40:00","1.1696565000e+09","3.0414290000e+09"
"2020-02-01 02:45:00","1.1329242500e+09","3.4671420000e+09"
"2020-02-01 02:50:00","1.1708141250e+09","3.2871997500e+09"
"2020-02-01 02:55:00","1.1571240000e+09","3.4006997500e+09"
"2020-02-01 03:00:00","1.0016275000e+09","1.9313153750e+09"
"2020-02-01 03:05:00","9.5404037500e+08","1.7350228750e+09"
"2020-02-01 03:10:00","1.0295794375e+09","1.7373272500e+09"
"2020-02-01 03:15:00","1.0105591875e+09","1.5616095000e+09"
"2020-02-01 03:20:00","9.1116268750e+08","1.6316615000e+09"
"2020-02-01 03:25:00","9.5141156250e+08","1.6018916250e+09"
"2020-02-01 03:30:00","1.3422217500e+09","2.1433385000e+09"
"2020-02-01 03:35:00","1.3428233750e+09","1.9920817500e+09"
"2020-02-01 03:40:00","1.4246937500e+09","2.0598443750e+09"
"2020-02-01 03:45:00","1.2536973750e+09","1.9193650000e+09"
"2020-02-01 03:50:00","1.3047758750e+09","2.0326983750e+09"
"2020-02-01 03:55:00","1.2063853750e+09","1.8713150000e+09"
"2020-02-01 04:00:00","1.2462817500e+09","1.9573138750e+09"
"2020-02-01 04:05:00","1.2097308750e+09","1.8516942500e+09"
"2020-02-01 04:10:00","1.2384010000e+09","2.0077445000e+09"
"2020-02-01 04:15:00","1.2577280000e+09","2.0368187500e+09"
"2020-02-01 04:20:00","1.1132163750e+09","1.6608063750e+09"
"2020-02-01 04:25:00","1.0522886250e+09","1.5631853750e+09"
"2020-02-01 04:30:00","1.0582835000e+09","1.6402157500e+09"
"2020-02-01 04:35:00","1.1509098750e+09","1.7093451250e+09"
"2020-02-01 04:40:00","1.0879700000e+09","1.6043872500e+09"
"2020-02-01 04:45:00","1.0506123750e+09","1.6077952500e+09"
"2020-02-01 04:50:00","1.0359959375e+09","1.5061028750e+09"
"2020-02-01 04:55:00","1.0343448750e+09","1.4564998750e+09"
"2020-02-01 05:00:00","9.9762631250e+08","1.4485552500e+09"
"2020-02-01 05:05:00","9.2776500000e+08","1.3873988750e+09"
"2020-02-01 05:10:00","9.9468068750e+08","1.4768575000e+09"
"2020-02-01 05:15:00","9.5908612500e+08","1.3676770000e+09"
"2020-02-01 05:20:00","9.7111206250e+08","1.4180751250e+09"
"2020-02-01 05:25:00","8.5529375000e+08","1.4644280000e+09"
"2020-02-01 05:30:00","8.3207575000e+08","1.3298348750e+09"
"2020-02-01 05:35:00","8.1505981250e+08","1.3519845000e+09"
"2020-02-01 05:40:00","7.9451931250e+08","1.1748640000e+09"
"2020-02-01 05:45:00","7.6526181250e+08","1.2070403750e+09"
"2020-02-01 05:50:00","7.0865456250e+08","1.1141185000e+09"
"2020-02-01 05:55:00","6.8993893750e+08","1.0507422500e+09"
"2020-02-01 06:00:00","5.7352593750e+08","9.7886706250e+08"
"2020-02-01 06:05:00","5.2304559375e+08","9.6662050000e+08"
"2020-02-01 06:10:00","4.9549703125e+08","9.0858756250e+08"
"2020-02-01 06:15:00","5.2562150000e+08","9.2624481250e+08"
"2020-02-01 06:20:00","5.1945646875e+08","8.9272112500e+08"
"2020-02-01 06:25:00","5.1775518750e+08","1.0213949375e+09"
"2020-02-01 06:30:00","3.3197581250e+08","7.0840581250e+08"
"2020-02-01 06:35:00","4.9283209375e+08","1.3936920000e+09"
"2020-02-01 06:40:00","7.3932818750e+08","2.6498042500e+09"
"2020-02-01 06:45:00","5.6505050000e+08","1.8070881250e+09"
"2020-02-01 06:50:00","7.9457350000e+08","2.9745275000e+09"
"2020-02-01 06:55:00","8.9973506250e+08","3.4583740000e+09"
"2020-02-01 07:00:00","9.6815425000e+08","3.6949347500e+09"
"2020-02-01 07:05:00","1.0684052500e+09","4.0543725000e+09"
"2020-02-01 07:10:00","1.0362251875e+09","4.2312095000e+09"
"2020-02-01 07:15:00","1.1494308750e+09","4.4780805000e+09"
"2020-02-01 07:20:00","1.1098217500e+09","4.9568430000e+09"
"2020-02-01 07:25:00","1.1865041250e+09","4.9799695000e+09"
"2020-02-01 07:30:00","1.1660427500e+09","5.5545265000e+09"
"2020-02-01 07:35:00","1.2491400000e+09","5.7718420000e+09"
"2020-02-01 07:40:00","1.2323618750e+09","5.4903855000e+09"
"2020-02-01 07:45:00","7.6529018750e+08","2.5100775000e+09"
"2020-02-01 07:50:00","8.0539468750e+08","2.8839767500e+09"
"2020-02-01 07:55:00","1.1756396250e+09","5.2541700000e+09"
"2020-02-01 08:00:00","1.0655398750e+09","5.0867660000e+09"
"2020-02-01 08:05:00","1.0571796250e+09","5.1248675000e+09"
"2020-02-01 08:10:00","1.0525598750e+09","4.9762275000e+09"
"2020-02-01 08:15:00","1.0825615000e+09","5.2675135000e+09"
"2020-02-01 08:20:00","1.0349836875e+09","5.0335695000e+09"
"2020-02-01 08:25:00","1.0889595000e+09","5.3975685000e+09"
"2020-02-01 08:30:00","1.0527670000e+09","5.2158195000e+09"
"2020-02-01 08:35:00","1.1622666250e+09","5.4459030000e+09"
"2020-02-01 08:40:00","1.0783185000e+09","5.3776485000e+09"
"2020-02-01 08:45:00","1.0832255000e+09","5.4871760000e+09"
"2020-02-01 08:50:00","1.0542671250e+09","5.3734870000e+09"
"2020-02-01 08:55:00","1.0742881250e+09","5.3557810000e+09"
"2020-02-01 09:00:00","1.0922473750e+09","5.4719700000e+09"
"2020-02-01 09:05:00","1.0285551250e+09","5.5574575000e+09"
"2020-02-01 09:10:00","1.0566918750e+09","5.0511820000e+09"
"2020-02-01 09:15:00","1.0053855625e+09","4.8675510000e+09"
"2020-02-01 09:20:00","9.8065575000e+08","4.7182820000e+09"
"2020-02-01 09:25:00","1.0092525000e+09","4.6376060000e+09"
"2020-02-01 09:30:00","9.8472837500e+08","4.5681340000e+09"
"2020-02-01 09:35:00","1.0083224375e+09","4.7571140000e+09"
"2020-02-01 09:40:00","9.9202206250e+08","4.6175970000e+09"
"2020-02-01 09:45:00","1.0521857500e+09","4.8003940000e+09"
"2020-02-01 09:50:00","1.0322083750e+09","4.8021560000e+09"
"2020-02-01 09:55:00","1.0886706250e+09","4.9940770000e+09"
"2020-02-01 10:00:00","1.0668483750e+09","5.0100985000e+09"
"2020-02-01 10:05:00","1.0127593750e+09","4.7183240000e+09"
"2020-02-01 10:10:00","1.0663362500e+09","4.8666890000e+09"
"2020-02-01 10:15:00","1.0820581250e+09","4.7228305000e+09"
"2020-02-01 10:20:00","1.1527441250e+09","4.9763245000e+09"
"2020-02-01 10:25:00","1.1772283750e+09","5.0947210000e+09"
"2020-02-01 10:30:00","1.3474150000e+09","4.4851580000e+09"
"2020-02-01 10:35:00","1.5515971250e+09","4.7425400000e+09"
"2020-02-01 10:40:00","1.5423790000e+09","4.7757690000e+09"
"2020-02-01 10:45:00","1.5579856250e+09","4.8311150000e+09"
"2020-02-01 10:50:00","1.6580090000e+09","4.7481875000e+09"
"2020-02-01 10:55:00","1.6571162500e+09","4.8718235000e+09"
"2020-02-01 11:00:00","1.4998483750e+09","4.6488725000e+09"
"2020-02-01 11:05:00","1.5872672500e+09","4.5485075000e+09"
"2020-02-01 11:10:00","1.5670717500e+09","4.6465075000e+09"
"2020-02-01 11:15:00","1.3559818750e+09","5.1334690000e+09"
"2020-02-01 11:20:00","1.1661196250e+09","5.2342825000e+09"
"2020-02-01 11:25:00","1.1483823750e+09","5.3749470000e+09"
"2020-02-01 11:30:00","1.1071275000e+09","5.5847820000e+09"
"2020-02-01 11:35:00","1.1105967500e+09","5.2149375000e+09"
"2020-02-01 11:40:00","1.0323816250e+09","5.2281450000e+09"
"2020-02-01 11:45:00","1.0833187500e+09","5.2093540000e+09"
"2020-02-01 11:50:00","1.2396858750e+09","5.3239725000e+09"
"2020-02-01 11:55:00","1.1795788750e+09","5.1453985000e+09"
"2020-02-01 12:00:00","1.2440165000e+09","5.0606210000e+09"
"2020-02-01 12:05:00","1.2351573750e+09","4.9040070000e+09"
"2020-02-01 12:10:00","1.2348177500e+09","4.8470675000e+09"
"2020-02-01 12:15:00","1.2504690000e+09","4.8910150000e+09"
"2020-02-01 12:20:00","1.2039372500e+09","5.0208670000e+09"
"2020-02-01 12:25:00","1.1992297500e+09","4.8523730000e+09"
"2020-02-01 12:30:00","1.2812717500e+09","4.8190650000e+09"
"2020-02-01 12:35:00","1.3311588750e+09","5.2223795000e+09"
"2020-02-01 12:40:00","1.4564918750e+09","5.1710695000e+09"
"2020-02-01 12:45:00","1.5616297500e+09","4.9630175000e+09"
"2020-02-01 12:50:00","1.6321907500e+09","5.1130385000e+09"
"2020-02-01 12:55:00","1.5299733750e+09","4.7663735000e+09"
"2020-02-01 13:00:00","1.8357567500e+09","5.6535455000e+09"
"2020-02-01 13:05:00","1.7359553750e+09","5.3932385000e+09"
"2020-02-01 13:10:00","1.9709398750e+09","6.3196025000e+09"
"2020-02-01 13:15:00","1.8286878750e+09","5.6747030000e+09"
"2020-02-01 13:20:00","1.6962532500e+09","5.4153865000e+09"
"2020-02-01 13:25:00","1.5616241250e+09","5.0875440000e+09"
"2020-02-01 13:30:00","1.3740366250e+09","4.5972265000e+09"
"2020-02-01 13:35:00","1.3537627500e+09","4.2552440000e+09"
"2020-02-01 13:40:00","1.3322695000e+09","4.1626210000e+09"
